GENESIS-Tabelle: 23131-0004
Krankenhauspatienten: Deutschland, Jahre, Geschlecht,;;;;;;;;;;;;;;;;;;;;;;;;;;;
Altersgruppen, Fachabteilungen, Hauptdiagnose ICD-10;;;;;;;;;;;;;;;;;;;;;;;;;;;
(1-Steller);;;;;;;;;;;;;;;;;;;;;;;;;;;
Diagnosen der Krankenhauspatienten;;;;;;;;;;;;;;;;;;;;;;;;;;;
Deutschland;;;;;;;;;;;;;;;;;;;;;;;;;;;
Entlassene Patienten (Anzahl);;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;Insgesamt;Insgesamt;Insgesamt;Insgesamt;Insgesamt;Insgesamt;Insgesamt;Insgesamt
2022;Innere Medizin;ICD10-I00-I99;Krankheiten des Kreislaufsystems;45;196;630;68835;77970;74251;97926;588065;38;176;585;44184;60330;70704;114106;521501;83;372;1215;113019;138300;144955;212032;1109566
2022;Innere Medizin;ICD10-J00-J99;Krankheiten des Atmungssystems;37;230;986;32221;37246;36909;50209;284282;29;218;970;23944;27111;26901;39727;233933;66;448;1956;56165;64357;63810;89936;518215
2022;Innere Medizin;ICD10-K00-K93;Krankheiten des Verdauungssystems;42;289;1341;29450;30091;26699;36037;284490;71;418;1895;26135;29297;30197;46548;295877;113;707;3236;55585;59388;56896;82585;580367
2022;Innere Medizin;ICD10-L00-L99;Krankheiten der Haut und der Unterhaut;14;42;86;608;580;538;713;6802;10;27;123;586;587;551;923;7813;24;69;209;1194;1167;1089;1636;14615
2022;Innere Medizin;ICD10-M00-M99;Krankh. d. Muskel-Skelett-Systems u.d.Bindegewebes;4;21;147;3188;3464;3178;4007;31234;6;44;159;4402;4902;5110;7444;49577;10;65;306;7590;8366;8288;11451;80811
2022;Innere Medizin;ICD10-N00-N99;Krankheiten des Urogenitalsystems;40;39;171;7674;9997;10628;16789;85305;25;140;611;5699;7951;10306;19197;92028;65;179;782;13373;17948;20934;35986;177333
2022;Innere Medizin;ICD10-O00-O99;Schwangerschaft, Geburt und Wochenbett;-;-;-;-;-;-;-;-;-;14;60;-;-;-;-;3236;-;14;60;-;-;-;-;3236
2022;Innere Medizin;ICD10-P00-P96;Best. Zustände mit Ursprung i.d Perinatalperiode;-;-;-;-;-;-;-;202;-;-;-;-;-;-;-;140;-;-;-;-;-;-;-;342
2022;Innere Medizin;ICD10-Q00-Q99;Angeb.Fehlbild.,Deformitäten,Chromosomenanomalien;1;5;14;178;113;58;39;2389;-;7;25;155;99;61;54;1960;1;12;39;333;212;119;93;4349
2022;Innere Medizin;ICD10-R00-R99;Symptome u.abnorme klin. u.Laborbefunde,ao.n.kl.;38;356;1605;12687;13773;13466;18260;145480;101;600;2262;11751;13552;14888;23642;157736;139;956;3867;24438;27325;28354;41902;303216
2022;Innere Medizin;ICD10-S00-T98;Verletzungen und Vergiftungen;107;285;725;4412;4684;4618;7123;52328;128;337;1024;3430;4307;5810;11563;62978;235;622;1749;7842;8991;10428;18686;115306
2022;Innere Medizin;ICD10-Z00-Z99;Faktoren,die zur Inanspruchn.d.Gesundheitsw.führen;9;15;42;1453;1551;1738;2694;14393;4;19;52;859;972;1193;2084;10959;13;34;94;2312;2523;2931;4778;25352
2022;Innere Medizin;ICD10-U00-U85;Schlüsselnummern für besondere Zwecke;-;-;1;5;5;3;10;42;-;-;1;4;1;7;8;47;-;-;2;9;6;10;18;89
2022;Innere Medizin;UNBEKANNT;unbekannt;-;-;-;-;-;1;1;5;-;-;-;-;1;-;3;13;-;-;-;-;1;1;4;18
2022;Innere Medizin;;Insgesamt;599;2764;10034;223910;246232;233088;311688;2061863;705;3125;11930;168655;203949;223425;354297;1965598;1304;5889;21964;392565;450181;456513;665985;4027463
2022;Geriatrie;ICD10-A00-B99;Bestimmte infektiöse und parasitäre Krankheiten;-;-;-;109;346;515;968;3229;-;-;-;103;321;565;1209;4325;-;-;-;212;667;1080;2177;7554
2022;Geriatrie;ICD10-C00-C97;Bösartige Neubildungen;-;-;-;222;512;643;972;3345;-;-;-;199;436;723;1182;3843;-;-;-;421;948;1366;2154;7188
2022;Geriatrie;ICD10-D00-D48;Übrige Neubildungen;-;-;-;11;46;67;87;314;-;-;-;16;46;66;143;440;-;-;-;27;92;133;230;754
2022;Geriatrie;ICD10-D50-D90;Krankheiten des Blutes;-;-;-;7;27;39;88;317;-;-;-;14;38;79;171;614;-;-;-;21;65;118;259;931
2022;Geriatrie;ICD10-E00-E90;Endokrine, Ernährungs- und Stoffwechselkrankheiten;-;-;-;178;477;696;1442;4966;-;-;1;156;510;1055;2616;9374;-;-;1;334;987;1751;4058;14340
2022;Geriatrie;ICD10-F00-F99;Psychische und Verhaltensstörungen;-;-;-;72;183;308;667;2074;-;-;-;64;210;414;916;3027;-;-;-;136;393;722;1583;5101
2022;Geriatrie;ICD10-G00-G99;Krankheiten des Nervensystems;-;-;-;201;488;764;1185;3804;-;-;1;166;414;700;1305;4198;-;-;1;367;902;1464;2490;8002
2022;Geriatrie;ICD10-H00-H59;Krankheiten des Auges und der Augenanhangsgebilde;-;-;-;2;2;4;3;19;-;-;-;1;3;3;7;31;-;-;-;3;5;7;10;50
2022;Geriatrie;ICD10-H60-H95;Krankheiten des Ohres und des Warzenfortsatzes;-;-;-;10;13;13;28;97;-;-;-;9;16;32;59;210;-;-;-;19;29;45;87;307
2022;Geriatrie;ICD10-I00-I99;Krankheiten des Kreislaufsystems;-;-;-;766;2091;3037;5976;19869;-;-;-;506;1804;3474;8472;30238;-;-;-;1272;3895;6511;14448;50107
2022;Geriatrie;ICD10-J00-J99;Krankheiten des Atmungssystems;-;-;-;339;950;1380;2458;8473;-;-;-;304;803;1241;2243;8587;-;-;-;643;1753;2621;4701;17060
2022;Geriatrie;ICD10-K00-K93;Krankheiten des Verdauungssystems;-;-;-;171;413;613;1052;3666;-;-;-;188;519;921;2041;6688;-;-;-;359;932;1534;3093;10354
2022;Geriatrie;ICD10-L00-L99;Krankheiten der Haut und der Unterhaut;-;-;-;31;46;72;108;385;-;-;-;18;66;78;154;588;-;-;-;49;112;150;262;973
2022;Geriatrie;ICD10-M00-M99;Krankh. d. Muskel-Skelett-Systems u.d.Bindegewebes;-;-;-;292;785;1305;2255;7063;-;-;-;385;1528;2806;5924;17567;-;-;-;677;2313;4111;8179;24630
2022;Geriatrie;ICD10-N00-N99;Krankheiten des Urogenitalsystems;-;-;-;125;399;694;1392;4458;-;-;-;129;410;801;1829;6299;-;-;-;254;809;1495;3221;10757
2022;Geriatrie;ICD10-O00-O99;Schwangerschaft, Geburt und Wochenbett;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1
2022;Geriatrie;ICD10-P00-P96;Best. Zustände mit Ursprung i.d Perinatalperiode;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2022;Geriatrie;ICD10-Q00-Q99;Angeb.Fehlbild.,Deformitäten,Chromosomenanomalien;-;-;-;-;1;2;1;8;-;-;-;1;-;3;3;11;-;-;-;1;1;5;4;19
2022;Geriatrie;ICD10-R00-R99;Symptome u.abnorme klin. u.Laborbefunde,ao.n.kl.;-;-;-;479;1305;1969;3673;12112;-;-;-;466;1392;2590;5627;18975;-;-;-;945;2697;4559;9300;31087
2022;Geriatrie;ICD10-S00-T98;Verletzungen und Vergiftungen;-;1;-;647;2031;3179;6521;22090;-;-;2;970;3677;7580;17422;60111;-;1;2;1617;5708;10759;23943;82201
2022;Geriatrie;ICD10-Z00-Z99;Faktoren,die zur Inanspruchn.d.Gesundheitsw.führen;-;-;-;11;31;43;95;306;-;-;-;18;52;80;181;551;-;-;-;29;83;123;276;857
2022;Geriatrie;ICD10-U00-U85;Schlüsselnummern für besondere Zwecke;-;-;-;3;5;10;12;59;-;-;-;1;4;14;34;113;-;-;-;4;9;24;46;172
2022;Geriatrie;UNBEKANNT;unbekannt;-;-;-;-;6;6;13;34;-;-;-;2;4;14;18;76;-;-;-;2;10;20;31;110
2022;Geriatrie;;Insgesamt;-;1;-;3676;10157;15359;28996;96688;-;-;4;3716;12253;23239;51556;175867;-;1;4;7392;22410;38598;80552;272555
2022;Kardiologie;ICD10-A00-B99;Bestimmte infektiöse und parasitäre Krankheiten;1;6;39;721;941;945;1382;7547;-;4;39;410;594;657;1087;5476;1;10;78;1131;1535;1602;2469;13023
2022;Kardiologie;ICD10-C00-C97;Bösartige Neubildungen;-;-;2;495;546;449;477;3118;-;-;-;334;398;309;348;2204;-;-;2;829;944;758;825;5322
2022;Kardiologie;ICD10-D00-D48;Übrige Neubildungen;-;1;-;98;104;105;111;710;-;-;2;87;107;81;82;655;-;1;2;185;211;186;193;1365
2022;Kardiologie;ICD10-D50-D90;Krankheiten des Blutes;-;1;1;91;125;124;196;1089;-;2;6;73;97;120;217;1068;-;3;7;164;222;244;413;2157
2022;Kardiologie;ICD10-E00-E90;Endokrine, Ernährungs- und Stoffwechselkrankheiten;-;3;21;654;803;880;1481;7142;-;5;23;459;693;1006;2012;8422;-;8;44;1113;1496;1886;3493;15564
2022;Kardiologie;ICD10-F00-F99;Psychische und Verhaltensstörungen;4;22;89;131;95;73;98;2643;5;23;92;98;84;101;140;1596;9;45;181;229;179;174;238;4239
2022;Kardiologie;ICD10-G00-G99;Krankheiten des Nervensystems;-;5;12;275;305;276;353;2711;-;4;13;181;195;218;346;2110;-;9;25;456;500;494;699;4821
2022;Kardiologie;ICD10-H00-H59;Krankheiten des Auges und der Augenanhangsgebilde;-;-;2;19;19;18;28;155;-;-;-;11;22;15;27;120;-;-;2;30;41;33;55;275
2022;Kardiologie;ICD10-H60-H95;Krankheiten des Ohres und des Warzenfortsatzes;-;1;-;55;67;56;77;497;-;1;2;55;73;62;98;558;-;2;2;110;140;118;175;1055
2022;Kardiologie;ICD10-I00-I99;Krankheiten des Kreislaufsystems;25;156;445;50478;56008;53301;63138;404872;14;88;333;27491;36850;42462;61177;282816;39;244;778;77969;92858;95763;124315;687688
2022;Kardiologie;ICD10-J00-J99;Krankheiten des Atmungssystems;-;13;86;3113;3721;3801;4716;26967;-;13;78;2255;2606;2542;3597;20921;-;26;164;5368;6327;6343;8313;47888
2022;Kardiologie;ICD10-K00-K93;Krankheiten des Verdauungssystems;-;2;21;451;483;475;628;4166;-;-;13;287;380;443;648;3441;-;2;34;738;863;918;1276;7607
2022;Kardiologie;ICD10-L00-L99;Krankheiten der Haut und der Unterhaut;-;-;2;35;36;35;42;337;-;-;3;23;41;26;62;375;-;-;5;58;77;61;104;712
2022;Kardiologie;ICD10-M00-M99;Krankh. d. Muskel-Skelett-Systems u.d.Bindegewebes;-;4;14;212;243;216;296;2324;-;-;9;182;218;224;348;2103;-;4;23;394;461;440;644;4427
2022;Kardiologie;ICD10-N00-N99;Krankheiten des Urogenitalsystems;-;2;10;561;736;882;1291;5917;-;4;10;316;519;770;1294;5469;-;6;20;877;1255;1652;2585;11386
2022;Kardiologie;ICD10-O00-O99;Schwangerschaft, Geburt und Wochenbett;-;-;-;-;-;-;-;-;-;4;4;-;-;-;-;297;-;4;4;-;-;-;-;297
2022;Kardiologie;ICD10-P00-P96;Best. Zustände mit Ursprung i.d Perinatalperiode;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2022;Kardiologie;ICD10-Q00-Q99;Angeb.Fehlbild.,Deformitäten,Chromosomenanomalien;-;1;16;202;76;49;36;2681;-;1;17;131;91;59;49;1816;-;2;33;333;167;108;85;4497
2022;Kardiologie;ICD10-R00-R99;Symptome u.abnorme klin. u.Laborbefunde,ao.n.kl.;1;53;441;3451;3692;3663;4594;40154;5;83;429;3114;3296;3648;5153;36008;6;136;870;6565;6988;7311;9747;76162
2022;Kardiologie;ICD10-S00-T98;Verletzungen und Vergiftungen;-;19;68;726;787;828;1065;6932;2;33;90;393;467;612;966;5295;2;52;158;1119;1254;1440;2031;12227
2022;Kardiologie;ICD10-Z00-Z99;Faktoren,die zur Inanspruchn.d.Gesundheitsw.führen;-;5;14;1054;1256;1413;2012;10191;-;1;10;421;562;737;1209;5794;-;6;24;1475;1818;2150;3221;15985
2022;Kardiologie;ICD10-U00-U85;Schlüsselnummern für besondere Zwecke;-;-;-;-;1;1;-;4;-;-;-;1;-;2;-;4;-;-;-;1;1;3;-;8
2022;Kardiologie;UNBEKANNT;unbekannt;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
2022;Kardiologie;;Insgesamt;31;294;1283;62822;70044;67590;82021;530158;26;266;1173;36322;47293;54094;78860;386548;57;560;2456;99144;117337;121684;160881;916706
2022;Nephrologie;ICD10-A00-B99;Bestimmte infektiöse und parasitäre Krankheiten;-;1;14;357;398;349;444;3121;-;-;10;263;272;248;416;2504;-;1;24;620;670;597;860;5625
2022;Nephrologie;ICD10-C00-C97;Bösartige Neubildungen;-;-;13;304;399;372;309;2459;-;-;-;299;318;217;199;1830;-;-;13;603;717;589;508;4289
2022;Nephrologie;ICD10-D00-D48;Übrige Neubildungen;-;-;1;27;34;27;33;219;-;-;2;15;14;18;29;162;-;-;3;42;48;45;62;381
2022;Nephrologie;ICD10-D50-D90;Krankheiten des Blutes;-;-;6;51;68;60;81;625;-;-;8;56;33;34;73;499;-;-;14;107;101;94;154;1124
2022;Nephrologie;ICD10-E00-E90;Endokrine, Ernährungs- und Stoffwechselkrankheiten;-;1;22;309;323;298;455;3047;-;3;10;282;374;416;742;3600;-;4;32;591;697;714;1197;6647
2022;Nephrologie;ICD10-F00-F99;Psychische und Verhaltensstörungen;1;1;2;7;9;24;20;208;1;-;4;9;8;15;15;152;2;1;6;16;17;39;35;360
2022;Nephrologie;ICD10-G00-G99;Krankheiten des Nervensystems;-;-;2;15;28;24;39;274;-;-;2;25;36;22;42;242;-;-;4;40;64;46;81;516
2022;Nephrologie;ICD10-H00-H59;Krankheiten des Auges und der Augenanhangsgebilde;-;-;-;2;5;3;-;27;-;-;1;1;-;3;2;19;-;-;1;3;5;6;2;46
2022;Nephrologie;ICD10-H60-H95;Krankheiten des Ohres und des Warzenfortsatzes;-;-;-;-;3;1;2;14;-;-;-;2;2;5;3;27;-;-;-;2;5;6;5;41
2022;Nephrologie;ICD10-I00-I99;Krankheiten des Kreislaufsystems;-;3;13;601;691;674;930;5387;-;-;4;410;513;594;977;4877;-;3;17;1011;1204;1268;1907;10264
2022;Nephrologie;ICD10-J00-J99;Krankheiten des Atmungssystems;-;4;9;415;473;481;675;3765;-;1;8;257;300;306;447;2654;-;5;17;672;773;787;1122;6419
2022;Nephrologie;ICD10-K00-K93;Krankheiten des Verdauungssystems;-;1;9;185;201;159;207;1588;-;-;5;149;130;128;164;1200;-;1;14;334;331;287;371;2788
2022;Nephrologie;ICD10-L00-L99;Krankheiten der Haut und der Unterhaut;-;-;-;22;19;19;26;191;-;-;1;17;18;14;25;164;-;-;1;39;37;33;51;355
2022;Nephrologie;ICD10-M00-M99;Krankh. d. Muskel-Skelett-Systems u.d.Bindegewebes;-;1;13;271;227;180;187;2103;-;1;8;230;281;227;231;2348;-;2;21;501;508;407;418;4451
2022;Nephrologie;ICD10-N00-N99;Krankheiten des Urogenitalsystems;1;7;58;1332;1486;1370;1804;12381;-;13;47;848;961;1042;1608;9481;1;20;105;2180;2447;2412;3412;21862
2022;Nephrologie;ICD10-O00-O99;Schwangerschaft, Geburt und Wochenbett;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;66;-;-;2;-;-;-;-;66
2022;Nephrologie;ICD10-P00-P96;Best. Zustände mit Ursprung i.d Perinatalperiode;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2022;Nephrologie;ICD10-Q00-Q99;Angeb.Fehlbild.,Deformitäten,Chromosomenanomalien;-;-;-;7;2;2;2;41;-;-;1;4;-;3;-;42;-;-;1;11;2;5;2;83
2022;Nephrologie;ICD10-R00-R99;Symptome u.abnorme klin. u.Laborbefunde,ao.n.kl.;-;-;9;94;120;116;155;1030;-;3;15;60;73;89;145;938;-;3;24;154;193;205;300;1968
2022;Nephrologie;ICD10-S00-T98;Verletzungen und Vergiftungen;1;2;17;395;379;273;280;3137;2;3;26;253;206;175;257;2297;3;5;43;648;585;448;537;5434
2022;Nephrologie;ICD10-Z00-Z99;Faktoren,die zur Inanspruchn.d.Gesundheitsw.führen;-;-;3;36;43;35;25;404;-;-;-;28;31;15;21;356;-;-;3;64;74;50;46;760
2022;Nephrologie;ICD10-U00-U85;Schlüsselnummern für besondere Zwecke;-;-;-;1;-;-;-;2;-;-;1;-;-;-;-;1;-;-;1;1;-;-;-;3
2022;Nephrologie;UNBEKANNT;unbekannt;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2022;Nephrologie;;Insgesamt;3;21;191;4431;4908;4467;5674;40023;3;24;155;3208;3570;3571;5396;33459;6;45;346;7639;8478;8038;11070;73482
2022;Hämatologie und internistische Onkologie;ICD10-A00-B99;Bestimmte infektiöse und parasitäre Krankheiten;10;13;19;377;409;354;323;2891;13;1;25;268;277;224;279;2225;23;14;44;645;686;578;602;5116
2022;Hämatologie und internistische Onkologie;ICD10-C00-C97;Bösartige Neubildungen;164;118;328;13073;12563;8738;7957;81247;154;40;208;9815;9446;7283;6656;64702;318;158;536;22888;22009;16021;14613;145949
2022;Hämatologie und internistische Onkologie;ICD10-D00-D48;Übrige Neubildungen;3;10;4;375;391;338;456;2588;2;1;1;248;260;289;384;2036;5;11;5;623;651;627;840;4624
2022;Hämatologie und internistische Onkologie;ICD10-D50-D90;Krankheiten des Blutes;22;8;49;306;317;257;320;2763;5;5;34;284;278;256;339;2901;27;13;83;590;595;513;659;5664
2022;Hämatologie und internistische Onkologie;ICD10-E00-E90;Endokrine, Ernährungs- und Stoffwechselkrankheiten;-;-;2;99;115;108;121;756;1;-;4;102;101;107;159;955;1;-;6;201;216;215;280;1711
2022;Hämatologie und internistische Onkologie;ICD10-F00-F99;Psychische und Verhaltensstörungen;-;1;7;20;13;15;18;287;1;3;10;15;15;11;14;191;1;4;17;35;28;26;32;478
2022;Hämatologie und internistische Onkologie;ICD10-G00-G99;Krankheiten des Nervensystems;2;1;-;43;31;30;35;376;1;1;-;39;41;25;22;286;3;2;-;82;72;55;57;662
2022;Hämatologie und internistische Onkologie;ICD10-H00-H59;Krankheiten des Auges und der Augenanhangsgebilde;-;-;-;1;3;1;-;13;-;-;-;2;2;2;2;14;-;-;-;3;5;3;2;27
2022;Hämatologie und internistische Onkologie;ICD10-H60-H95;Krankheiten des Ohres und des Warzenfortsatzes;-;-;-;1;4;-;-;16;-;-;-;2;-;2;3;24;-;-;-;3;4;2;3;40
2022;Hämatologie und internistische Onkologie;ICD10-I00-I99;Krankheiten des Kreislaufsystems;-;-;1;234;305;296;363;2080;-;-;4;192;185;230;420;2019;-;-;5;426;490;526;783;4099
2022;Hämatologie und internistische Onkologie;ICD10-J00-J99;Krankheiten des Atmungssystems;-;-;11;479;573;487;581;3627;5;3;5;287;335;294;321;2357;5;3;16;766;908;781;902;5984
2022;Hämatologie und internistische Onkologie;ICD10-K00-K93;Krankheiten des Verdauungssystems;3;5;14;368;347;318;295;2623;3;-;11;272;278;310;303;2435;6;5;25;640;625;628;598;5058
2022;Hämatologie und internistische Onkologie;ICD10-L00-L99;Krankheiten der Haut und der Unterhaut;-;-;-;15;22;20;11;139;-;1;-;12;12;8;10;105;-;1;-;27;34;28;21;244
2022;Hämatologie und internistische Onkologie;ICD10-M00-M99;Krankh. d. Muskel-Skelett-Systems u.d.Bindegewebes;1;1;1;54;70;61;56;489;1;-;3;61;73;59;103;614;2;1;4;115;143;120;159;1103
2022;Hämatologie und internistische Onkologie;ICD10-N00-N99;Krankheiten des Urogenitalsystems;-;1;-;156;173;189;181;1193;-;-;-;139;126;131;196;1107;-;1;-;295;299;320;377;2300
2022;Hämatologie und internistische Onkologie;ICD10-O00-O99;Schwangerschaft, Geburt und Wochenbett;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;26;-;-;1;-;-;-;-;26
2022;Hämatologie und internistische Onkologie;ICD10-P00-P96;Best. Zustände mit Ursprung i.d Perinatalperiode;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
2022;Hämatologie und internistische Onkologie;ICD10-Q00-Q99;Angeb.Fehlbild.,Deformitäten,Chromosomenanomalien;-;-;-;-;-;-;-;5;-;-;-;-;-;-;1;4;-;-;-;-;-;-;1;9
2022;Hämatologie und internistische Onkologie;ICD10-R00-R99;Symptome u.abnorme klin. u.Laborbefunde,ao.n.kl.;1;1;17;212;217;142;181;1653;5;2;17;180;202;157;181;1681;6;3;34;392;419;299;362;3334
2022;Hämatologie und internistische Onkologie;ICD10-S00-T98;Verletzungen und Vergiftungen;-;2;10;159;151;70;84;1315;-;3;4;190;111;71;74;1015;-;5;14;349;262;141;158;2330
2022;Hämatologie und internistische Onkologie;ICD10-Z00-Z99;Faktoren,die zur Inanspruchn.d.Gesundheitsw.führen;2;-;5;139;85;23;12;875;1;2;-;117;48;19;17;613;3;2;5;256;133;42;29;1488
2022;Hämatologie und internistische Onkologie;ICD10-U00-U85;Schlüsselnummern für besondere Zwecke;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;2
2022;Hämatologie und internistische Onkologie;UNBEKANNT;unbekannt;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2022;Hämatologie und internistische Onkologie;;Insgesamt;208;161;468;16111;15789;11447;10995;104938;192;62;327;12225;11790;9478;9484;85311;400;223;795;28336;27579;20925;20479;190249
2022;Endokrinologie;ICD10-A00-B99;Bestimmte infektiöse und parasitäre Krankheiten;-;-;3;29;44;45;48;371;-;1;6;24;36;36;66;330;-;1;9;53;80;81;114;701
2022;Endokrinologie;ICD10-C00-C97;Bösartige Neubildungen;-;-;-;20;25;9;16;174;-;-;-;11;40;11;12;142;-;-;-;31;65;20;28;316
2022;Endokrinologie;ICD10-D00-D48;Übrige Neubildungen;-;-;-;20;6;3;8;110;-;-;1;6;6;8;9;113;-;-;1;26;12;11;17;223
2022;Endokrinologie;ICD10-D50-D90;Krankheiten des Blutes;-;-;-;6;3;12;15;67;-;-;-;6;4;9;12;73;-;-;-;12;7;21;27;140
2022;Endokrinologie;ICD10-E00-E90;Endokrine, Ernährungs- und Stoffwechselkrankheiten;2;2;31;415;387;313;339;3439;3;7;30;199;195;229;280;2408;5;9;61;614;582;542;619;5847
2022;Endokrinologie;ICD10-F00-F99;Psychische und Verhaltensstörungen;-;-;10;6;6;2;4;238;-;-;7;1;4;7;7;109;-;-;17;7;10;9;11;347
2022;Endokrinologie;ICD10-G00-G99;Krankheiten des Nervensystems;-;-;1;7;5;6;5;53;-;-;-;2;3;3;3;33;-;-;1;9;8;9;8;86
2022;Endokrinologie;ICD10-H00-H59;Krankheiten des Auges und der Augenanhangsgebilde;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;3;-;-;-;-;1;-;-;3
2022;Endokrinologie;ICD10-H60-H95;Krankheiten des Ohres und des Warzenfortsatzes;-;-;-;1;1;1;-;5;-;-;-;-;1;-;-;3;-;-;-;1;2;1;-;8
2022;Endokrinologie;ICD10-I00-I99;Krankheiten des Kreislaufsystems;-;1;1;109;114;106;113;988;-;1;2;71;82;105;129;831;-;2;3;180;196;211;242;1819
2022;Endokrinologie;ICD10-J00-J99;Krankheiten des Atmungssystems;-;-;1;34;39;40;62;343;-;-;3;36;39;29;50;280;-;-;4;70;78;69;112;623
2022;Endokrinologie;ICD10-K00-K93;Krankheiten des Verdauungssystems;-;-;3;33;24;27;41;297;-;-;2;20;20;27;36;302;-;-;5;53;44;54;77;599
2022;Endokrinologie;ICD10-L00-L99;Krankheiten der Haut und der Unterhaut;-;-;-;4;3;4;10;62;-;-;-;3;3;6;12;57;-;-;-;7;6;10;22;119
2022;Endokrinologie;ICD10-M00-M99;Krankh. d. Muskel-Skelett-Systems u.d.Bindegewebes;-;-;2;9;5;6;9;74;-;-;1;9;11;8;16;85;-;-;3;18;16;14;25;159
2022;Endokrinologie;ICD10-N00-N99;Krankheiten des Urogenitalsystems;-;-;-;36;33;48;66;349;-;-;-;22;33;35;80;401;-;-;-;58;66;83;146;750
